0103050P0AAAFAF,Omeprazole_Cap E/C 10mg
0103050T0AAAAAA,Rabeprazole Sod_Tab E/C 10mg
0103050T0AAABAB,Rabeprazole Sod_Tab E/C 20mg
0104020H0AAAAAA,Co-Phenotrope_Tab 2.5mg/25mcg
0104020L0AAAAAA,Loperamide HCl_Cap 2mg
0104020L0AAABAB,Loperamide HCl_Oral Soln 1mg/5ml S/F
0104020L0BBAGAL,Imodium Instants_Tab 2mg
0105010B0BBAAAA,Asacol_MR Tab E/C 400mg
0105010B0BCACAI,Pentasa SR_Tab 500mg
0105010B0BCAGAY,Pentasa_Tab 1g M/R
0105010D0AAABAB,Balsalazide Sod_Cap 750mg
0105010E0AAAAAA,Sulfasalazine_Tab 500mg
0105010E0AAABAB,Sulfasalazine_Tab E/C 500mg
0105010E0BBABAB,Salazopyrin-En_Tab 500mg
0105020A0AAACAC,Budesonide_Cap 3mg (E/C Pellets)
0105020A0BBAAAA,Entocort CR_Cap 3mg (E/C M/R Gran)
0105020B0AAAAAA,Hydrocort Acet_Foam Aero Enem 10% (14 D)
0105020B0BBAAAA,Colifoam_Foam Aero Enem 10% 20.8g (14 D)
0105040A0AAAAAA,Sod Cromoglicate_Cap 100mg
0106010E0AAADAD,Ispag Husk_Gran Eff Sach 3.5g S/F
0106010E0AAAJAJ,Ispag Husk_Pdr Sach 3.4g Orange S/F
0106010E0AAATAT,Ispag Husk_Gran Sach 3.5g G/F
0106010E0AAAUAU,Ispag Husk_Gran Sach 3.5g G/F S/F
0106010E0BBABAH,Fybogel_Gran Sach 3.5g Orange G/F S/F
0106010H0AAACAC,Methylcellulose_Tab 500mg
0106020B0AAAAAA,Co-Danthramer_Susp 25mg/200mg/5ml S/F
0106020B0AAAFAF,Co-Danthramer_Cap Strong 37.5mg/500mg
0106020C0AAAAAA,Bisacodyl_Tab E/C 5mg
0106020C0AAAEAE,Bisacodyl_Suppos 10mg
0106020I0AAAIAI,Docusate Sod_Oral Soln 50mg/5ml S/F
0106020I0AAAKAK,Docusate Sod_Cap 100mg
0106020J0AAAAAA,Co-Danthrusate_Cap 50mg/60mg
0106020L0AAACAC,Glycerol_Suppos Adult's (4g)
0106020M0AAACAC,Senna_Tab 7.5mg
0106020M0AAAJAJ,Ispaghula/Senna Fruit_Gran 54.2%/12.4%
0106020M0AAATAT,Senna_Oral Soln 7.5mg/5ml S/F
0106020M0BFAAAJ,Manevac_Gran
0106020P0AAABAB,Sod Picosulf_Oral Soln 5mg/5ml S/F
0106020P0AAAFAF,Sod Picosulf_Cap 2.5mg
0106040G0AAAAAA,Lactulose_Soln 3.1g-3.7g/5ml
0106040M0AAAAAA,Macrogol_Co Oral Pdr Sach S/F
0106040M0BBAAAA,Movicol_Pdr Sach 13.8g (Lem & Lim)
0106040M0BBACAC,Movicol Plain_Paed Pdr Sach 6.9g
0106040M0BCAAAE,Laxido_Oral Pdr Sach (Orange)
0106040M0BCACAA,Laxido_Oral Pdr Sach (Orange) S/F
0106040N0AAABAB,Phos Enem_(For B) 128ml Stnd Tube
0106040R0BBAAAF,Micralax_Micro-Enem 5ml
0106050S0BBABAA,Picolax_Pdr Sach 16.3g
0107010AAAAAJAJ,Diltiazem HCl_Crm 2%
0107010Z0BCAAAE,Anusol_Crm
0107010Z0BCABAF,Anusol_Oint
0107010Z0BCACAG,Anusol_Suppos
0107020F0BBAAAA,Ultraproct_Oint
0107020F0BBABAB,Ultraproct_Suppos
0107020J0AAAEAE,Cinchocaine HCl/Hydrocort_Oint 0.5%/0.5%
0107020J0AAAFAF,Cinchocaine HCl/Hydrocort_Suppos 5mg/5mg
0107020J0AAAGAG,Lido/Hydrocort Acet_Oint 5%/0.275%
0107020J0BBAAAA,Anugesic HC_Crm
0107020J0BBABAI,Anugesic HC_Suppos
0107020J0BCAAAB,Anusol HC_Suppos
0107020J0BCABAC,Anusol HC_Oint
0107020J0BGAAAG,Xyloproct_Oint 5%/0.275%
0107020P0AAACAC,Cinchocaine/Prednisolone_Oint 0.5%/0.19%
0107020P0BCAAAC,Scheriproct_Oint
0107040A0AAAIAI,Glyceryl Trinit_Oint 0.4%
0109010U0AAAAAA,Ursodeoxycholic Acid_Tab 150mg
0109010U0AAABAB,Ursodeoxycholic Acid_Cap 250mg
0109010U0AAAYAY,Ursodeoxycholic Acid_Tab 300mg
0109040N0BDABAQ,Creon 25000_Cap E/C
0109040N0BDADAU,Creon 10000_Cap E/C
0109040N0BDAFAW,Creon 40000_Cap E/C
0201010F0AAADAD,Digoxin_Tab 62.5mcg
0201010F0AAAEAE,Digoxin_Tab 125mcg
0201010F0AAAFAF,Digoxin_Tab 250mcg
0202010B0AAABAB,Bendroflumethiazide_Tab 2.5mg
0202010B0AAACAC,Bendroflumethiazide_Tab 5mg
0202010P0AAAAAA,Indapamide_Tab 2.5mg
0202010P0AAADAD,Indapamide_Tab 1.5mg M/R
0202010V0AAAAAA,Metolazone_Tab 5mg
0202020D0AAAEAE,Bumetanide_Tab 1mg
0202020D0AAAFAF,Bumetanide_Tab 5mg
0202020L0AABBBB,Furosemide_Tab 20mg
0202020L0AABDBD,Furosemide_Tab 40mg
0202020L0AABPBP,Furosemide_Oral Soln 50mg/5ml S/F
0202030C0AAACAC,Amiloride HCl_Tab 5mg
0202030S0AAATAT,Spironol_Tab 25mg
0202030S0AAAUAU,Spironol_Tab 50mg
0202030S0AAAVAV,Spironol_Tab 100mg
0202030S0AAEBEB,Spironol_Oral Susp 50mg/5ml
0202030X0AAAAAA,Eplerenone_Tab 25mg
0202040B0AAAAAA,Co-Amilofruse_Tab 5mg/40mg
0202040B0BBAAAA,Frumil_Tab 40mg/5mg
0202040D0AAAAAA,Amiloride HCl/Bumetanide_Tab 5mg/1mg
0202040V0AAAAAA,Triamterene/Chlortalidone_Tab 50mg/50mg
0203020D0AAAAAA,Amiodarone HCl_Tab 100mg
0203020D0AAABAB,Amiodarone HCl_Tab 200mg
0203020I0AAAKAK,Flecainide Acet_Tab 50mg
0204000ABAAABAB,Nebivolol_Tab 2.5mg
0204000E0AAAAAA,Atenolol_Oral Soln 25mg/5ml S/F
0204000E0AAABAB,Atenolol_Tab 50mg
0204000E0AAACAC,Atenolol_Tab 100mg
0204000E0AAAGAG,Atenolol_Tab 25mg
0204000H0AAAAAA,Bisoprolol Fumar_Tab 5mg
0204000H0AAABAB,Bisoprolol Fumar_Tab 10mg
0204000H0AAAJAJ,Bisoprolol Fumar_Tab 2.5mg
0204000H0AAALAL,Bisoprolol Fumar_Tab 7.5mg
0204000H0AAAMAM,Bisoprolol Fumar_Tab 1.25mg
0204000H0AAAQAQ,Bisoprolol Fumar_Liq Spec 5mg/5ml
0204000K0AAABAB,Metoprolol Tart_Tab 50mg
0204000M0AAABAB,Nadolol_Tab 80mg
0204000N0AAACAC,Oxprenolol HCl_Tab 40mg
0204000R0AAAAAA,Propranolol HCl_Cap 80mg M/R
0204000R0AAABAB,Propranolol HCl_Cap 160mg M/R
0204000R0AAAHAH,Propranolol HCl_Tab 10mg
0204000R0AAAJAJ,Propranolol HCl_Tab 40mg
0204000R0AAAKAK,Propranolol HCl_Tab 80mg
0204000R0AACYCY,Propranolol HCl_Oral Soln 50mg/5ml S/F
0204000T0AAABAB,Sotalol HCl_Tab 40mg
0204000T0AAACAC,Sotalol HCl_Tab 80mg
0204000T0AAAEAE,Sotalol HCl_Tab 160mg
020400040AAAAAA,Co-Tenidone_Tab 50mg/12.5mg
020400080AAABAB,Carvedilol_Tab 12.5mg
020400080AAACAC,Carvedilol_Tab 25mg
020400080AAAEAE,Carvedilol_Tab 3.125mg
020400080AAAFAF,Carvedilol_Tab 6.25mg
0205010J0AAAGAG,Hydralazine HCl_Tab 25mg
0205010J0AAAHAH,Hydralazine HCl_Tab 50mg
0205010N0AAABAB,Minoxidil_Tab 5mg
0205010N0AAACAC,Minoxidil_Tab 10mg
0205010Y0AAAAAA,Sildenafil_Tab 20mg
0205020E0AAACAC,Clonidine HCl_Tab 100mcg
0205020H0AAACAC,Methyldopa_Tab 125mg
0205020H0AAADAD,Methyldopa_Tab 250mg
0205020H0AAAEAE,Methyldopa_Tab 500mg
0205020M0AAAAAA,Moxonidine_Tab 200mcg
0205020M0AAABAB,Moxonidine_Tab 400mcg
0205040D0AAAAAA,Doxazosin Mesil_Tab 1mg
0205040D0AAABAB,Doxazosin Mesil_Tab 2mg
0205040D0AAACAC,Doxazosin Mesil_Tab 4mg
0205040D0AAAQAQ,Doxazosin Mesil_Tab 4mg M/R
0205040D0AAARAR,Doxazosin Mesil_Tab 8mg M/R
0205040M0AAACAC,Phenoxybenz HCl_Cap 10mg
0205040S0AAACAC,Prazosin HCl_Tab 1mg
0205051I0AAAAAA,Enalapril Mal_Tab 2.5mg
0205051I0AAABAB,Enalapril Mal_Tab 5mg
0205051I0AAACAC,Enalapril Mal_Tab 10mg
0205051I0AAADAD,Enalapril Mal_Tab 20mg
0205051K0AAAAAA,Lisinopril/Hydchloroth_Tab 20mg/12.5mg
0205051K0AAABAB,Lisinopril/Hydchloroth_Tab 10mg/12.5mg
0205051K0BBAAAA,Zestoretic 20_Tab
0205051L0AAAAAA,Lisinopril_Tab 2.5mg
0205051L0AAABAB,Lisinopril_Tab 5mg
0205051L0AAACAC,Lisinopril_Tab 10mg
0205051L0AAADAD,Lisinopril_Tab 20mg
0205051M0AAAAAA,Perindopril Erbumine_Tab 2mg
0205051M0AAABAB,Perindopril Erbumine_Tab 4mg
0205051M0AAAFAF,Perindopril Erbumine_Tab 8mg
0205051R0AAAAAA,Ramipril_Cap 1.25mg
0205051R0AAABAB,Ramipril_Cap 2.5mg
0205051R0AAACAC,Ramipril_Cap 5mg
0205051R0AAADAD,Ramipril_Cap 10mg
0205051R0AAALAL,Ramipril_Tab 2.5mg
0205051R0AAANAN,Ramipril_Tab 10mg
0205051Y0AAAAAA,Perindopril Arginine_Tab 2.5mg
0407042F0AAAAAA,Clonidine HCl_Tab 25mcg
0205051Z0AAAAAA,Perindopril Argin/Indapam_Tab 5mg/1.25mg
0205052A0AAAAAA,Irbesartan/Hydchloroth_Tab 150mg/12.5mg
0205052A0AAABAB,Irbesartan/Hydchloroth_Tab 300mg/12.5mg
0205052A0AAACAC,Irbesartan/Hydchloroth_Tab 300mg/25mg
0205052A0BBAAAA,CoAprovel_Tab 150mg/12.5mg
0205052B0AAAAAA,Olmesartan Medoxomil_Tab 10mg
0205052B0AAABAB,Olmesartan Medoxomil_Tab 20mg
0205052B0AAACAC,Olmesartan Medoxomil_Tab 40mg
0205052C0AAABAB,Candesartan Cilexetil_Tab 4mg
0205052C0AAACAC,Candesartan Cilexetil_Tab 8mg
0205052C0AAADAD,Candesartan Cilexetil_Tab 16mg
0205052I0AAAAAA,Irbesartan_Tab 75mg
0205052I0AAABAB,Irbesartan_Tab 150mg
0205052I0AAACAC,Irbesartan_Tab 300mg
0205052N0AAAAAA,Losartan Pot_Tab 25mg
0205052N0AAABAB,Losartan Pot_Tab 50mg
0205052N0AAADAD,Losartan Pot_Tab 100mg
0205052P0AAAAAA,Losartan Pot/Hydchloroth_Tab 50mg/12.5mg
0205052P0AAACAC,Losartan Pot/Hydchloroth_Tab 100/12.5mg
0205052Q0AAACAC,Telmisartan_Tab 20mg
0205052V0AAABAB,Valsartan_Cap 80mg
0205052V0AAACAC,Valsartan_Cap 160mg
0205052X0AAACAC,Valsartan/Hydchloroth_Tab 80mg/12.5mg
0205052Y0AAAAAA,Olmesartan Medox/Hydchloroth_Tab 20/12.5
0205053A0AAAAAA,Aliskiren_Tab 150mg
0205053A0AAABAB,Aliskiren_Tab 300mg
0206010F0AAAHAH,Glyceryl Trinit_Tab 500mcg
0206010F0AAAKAK,Glyceryl Trinit_Tab Buccal 2mg M/R S/F
0206010F0AAAMAM,Glyceryl Trinit_Tab Buccal 3mg M/R S/F
0206010F0AAA5A5,Glyceryl Trinit_Tab 300mcg
0206010F0AACGCG,Glyceryl Trinit_Sub A/Spy 400mcg (180D)
0206010F0AACICI,Glyceryl Trinit_Sub P/Spy 400mcg (180D)
0206010F0AACJCJ,Glyceryl Trinit_Sub P/Spy 400mcg (200D)
0206010I0AAAIAI,Isosorbide Dinit_Tab 20mg M/R
0206010K0AAABAB,Isosorbide Mononit_Tab 10mg
0206010K0AAACAC,Isosorbide Mononit_Tab 20mg
0206010K0AAADAD,Isosorbide Mononit_Tab 40mg
0206010K0BKAAAE,Imdur_Durule 60mg
0206010K0BXACAE,Monomax XL_Tab 60mg
0206020A0AAAAAA,Amlodipine_Tab 5mg
0206020A0AAABAB,Amlodipine_Tab 10mg
0206020A0AAASAS,Amlodipine_Oral Soln 10mg/5ml
0206020A0BBAAAA,Istin_Tab 5mg
0206020A0BBABAB,Istin_Tab 10mg
0206020C0AAAAAA,Diltiazem HCl_Tab 60mg M/R
0206020C0AAASAS,Diltiazem HCl_Tab 120mg M/R
0206020C0AAATAT,Diltiazem HCl_Cap 90mg M/R
0206020C0AAAUAU,Diltiazem HCl_Cap 120mg M/R
0206020C0AAAVAV,Diltiazem HCl_Cap 180mg M/R
0206020C0AABABA,Diltiazem HCl_Cap 360mg M/R
0206020C0BBABAC,Tildiem Ret 90_Tab 90mg
0206020C0BBADAE,Tildiem LA 300_Cap 300mg
0206020C0BBAEAX,Tildiem LA 200_Cap 200mg
0206020C0BFAGAU,Adizem-XL_Cap 120mg
0206020C0BFAHAV,Adizem-XL_Cap 180mg
0206020C0BFAIAW,Adizem-XL_Cap 240mg
0206020C0BHAAAJ,Dilzem SR 60_Cap 60mg
0206020C0BHABAT,Dilzem SR 90_Cap 90mg
0206020C0BHADAU,Dilzem XL 120_Cap 120mg
0206020C0BHAEAV,Dilzem XL 180_Cap 180mg
0206020C0BHAFAW,Dilzem XL 240_Cap 240mg
0206020C0BJAAAT,Angitil SR 90_Cap 90mg
0206020C0BJABAU,Angitil SR 120_Cap 120mg
0206020C0BJACAV,Angitil SR 180_Cap 180mg
0206020C0BJADAW,Angitil XL 240_Cap 240mg
0206020C0BJAEAE,Angitil XL 300_Cap 300mg
0206020C0BMAAAE,Zemtard 300 XL_Cap 300mg
0206020C0BMABAU,Zemtard 120 XL_Cap 120mg
0206020C0BMACAV,Zemtard 180 XL_Cap 180mg
0206020C0BMADAW,Zemtard 240 XL_Cap 240mg
0206020C0BNAAAU,Viazem XL_Cap 120mg
0206020C0BNABAV,Viazem XL_Cap 180mg
0206020C0BNACAW,Viazem XL_Cap 240mg
0206020C0BNAEBA,Viazem XL_Cap 360mg
0206020F0AAACAC,Felodipine_Tab 10mg M/R
0206020F0AAADAD,Felodipine_Tab 2.5mg M/R
0206020F0BKAAAB,Cardioplen XL_Tab 5mg
0206020L0AAAAAA,Lercanidipine HCl_Tab 10mg
0206020L0AAABAB,Lercanidipine HCl_Tab 20mg
0206020Q0AAAAAA,Nicardipine HCl_Cap 20mg
0206020R0AAAAAA,Nifedipine_Cap 5mg
0206020R0AAABAB,Nifedipine_Cap 10mg
0206020R0AAAHAH,Nifedipine_Cap 20mg M/R
0206020R0AAAMAM,Nifedipine_Cap 10mg M/R
0206020R0AAAPAP,Nifedipine_Tab 60mg M/R
0206020R0AABEBE,Nifedipine_Cap 30mg M/R
0206020R0BBAIAP,Adalat LA 60_Tab 60mg
0206020R0BBAJAR,Adalat LA 20_Tab 20mg
0206020R0BGABAM,Coracten SR_Cap 10mg
0206020R0BGACBE,Coracten XL_Cap 30mg
0206020R0BGADBF,Coracten XL_Cap 60mg
0206020R0BRAAAR,Adipine MR 20_Tab 20mg
0206020R0BRABAE,Adipine MR 10_Tab 10mg
0206020R0BRACAN,Adipine XL_Tab 30mg
0206020R0BRADAP,Adipine XL_Tab 60mg
0206020T0AAACAC,Verapamil HCl_Tab 40mg
0206020T0AAADAD,Verapamil HCl_Tab 80mg
0206020T0AAAHAH,Verapamil HCl_Tab 240mg M/R
0206020T0AAAUAU,Verapamil HCl_Tab 120mg M/R
0206020T0BDAEAH,Securon Sr_Tab 240mg
0206020T0BJAAAH,Vertab SR 240_Tab 240mg
0206030N0AAAAAA,Nicorandil_Tab 10mg
0206030N0AAABAB,Nicorandil_Tab 20mg
0206030Y0AAAAAA,Ivabradine_Tab 5mg
0206030Z0AAABAB,Ranolazine_Tab 500mg M/R
0206040AEAAAAAA,Naftidrofuryl Oxal_Cap 100mg
0206040AGAAACAC,Pentoxifylline_Tab 400mg M/R
0206040X0AAAAAA,Cilostazol_Tab 100mg
0208010D0AAABAB,Enoxaparin_Inj 100mg/ml 0.4ml Pfs
0208010W0AAAIAI,Tinzaparin Sod_Inj 20 000u/ml 0.7ml Pfs
0208010W0AAAJAJ,Tinzaparin Sod_Inj 20 000u/ml 0.9ml Pfs
0208010W0AAAKAK,Tinzaparin Sod_Inj 20 000u/ml 0.5ml Pfs
0208010W0AAALAL,Tinzaparin Sod_Inj 10 000u/ml 0.35ml Pfs
0208010W0AAAQAQ,Tinzaparin Sod_Inj 10 000u/ml 0.25ml Pfs
0208010W0BCAEAI,Innohep_Inj 20 000u/ml 0.7ml Pfs
0208020V0AAAAAA,Warfarin Sod_Tab 1mg
0208020V0AAABAB,Warfarin Sod_Tab 3mg
0208020V0AAADAD,Warfarin Sod_Tab 5mg
0208020X0AAAAAA,Dabigatran Etexilate_Cap 75mg
0208020X0AAACAC,Dabigatran Etexilate_Cap 150mg
0209000A0AAABAB,Aspirin Disper_Tab 75mg
0209000A0AAAJAJ,Aspirin_Tab 75mg
0209000A0AAAKAK,Aspirin_Tab E/C 75mg
0209000A0BFAAAK,Nu-Seals 75_Tab E/C 75mg
0209000C0AAAAAA,Clopidogrel_Tab 75mg
0209000L0AAACAC,Dipyridamole_Tab 100mg
0209000L0AAAMAM,Dipyridamole_Cap 200mg M/R
0209000Y0AAABAB,Prasugrel_Tab 10mg
0211000P0AAACAC,Tranexamic Acid_Tab 500mg
0211000P0AAAFAF,Tranexamic Acid_Liq Spec 500mg/5ml
0212000AAAAAAAA,Rosuvastatin Calc_Tab 10mg
0212000AAAAABAB,Rosuvastatin Calc_Tab 20mg
0212000AAAAACAC,Rosuvastatin Calc_Tab 40mg
0212000AAAAADAD,Rosuvastatin Calc_Tab 5mg
0212000ABAAAAAA,EPA/DHA_Cap 460mg/380mg
0212000ACAAAAAA,Simvastatin/Ezetimibe_Tab 20mg/10mg
0212000ACAAABAB,Simvastatin/Ezetimibe_Tab 40mg/10mg
0212000ACAAACAC,Simvastatin/Ezetimibe_Tab 80mg/10mg
0212000ADAAAAAA,Colesevelam HCl_Tab 625mg
0212000B0AAAAAA,Atorvastatin_Tab 10mg
0212000B0AAABAB,Atorvastatin_Tab 20mg
0212000B0AAACAC,Atorvastatin_Tab 40mg
0212000B0AAADAD,Atorvastatin_Tab 80mg
0212000D0AAAAAA,Bezafibrate_Tab 200mg
0212000D0AAABAB,Bezafibrate_Tab 400mg M/R
0212000F0BBACAE,Questran Light_Sach 9g (4g Of Ingredient
0212000L0AAAAAA,Ezetimibe_Tab 10mg
0212000M0AAABAB,Fluvastatin Sod_Cap 40mg
0212000P0AAABAB,Fenofibrate_Cap 200mg (Micronised)
0212000P0AAACAC,Fenofibrate_Cap 67mg (Micronised)
0212000P0AAADAD,Fenofibrate_Cap 267mg (Micronised)
0212000P0AAAEAE,Fenofibrate_Tab 160mg (Micronised)
0212000V0BBABAB,Maxepa_Cap 1g
0212000X0AAAAAA,Pravastatin Sod_Tab 10mg
0212000X0AAABAB,Pravastatin Sod_Tab 20mg
0212000X0AAADAD,Pravastatin Sod_Tab 40mg
0212000Y0AAAAAA,Simvastatin_Tab 10mg
0212000Y0AAABAB,Simvastatin_Tab 20mg
0212000Y0AAADAD,Simvastatin_Tab 40mg
0212000Y0AAAHAH,Simvastatin_Tab 80mg
0212000Y0AAAKAK,Simvastatin_Oral Susp 20mg/5ml S/F
0212000Y0AAALAL,Simvastatin_Oral Susp 40mg/5ml S/F
0212000Y0BBACAD,Zocor_Tab 40mg
0301011B0AAAAAA,Bambuterol HCl_Tab 10mg
0301011E0AAABAB,Formoterol Fumar_Pdr For Inh 6mcg (60 D)
0301011R0AAAFAF,Salbutamol_Pdr For Inh 95mcg (200 D)
0301011R0AAAPAP,Salbutamol_Inha 100mcg (200 D) CFF
0301011R0AAAQAQ,Salbutamol_Pdr For Inh 200mcg (60 D)
0301011R0AAAXAX,Salbutamol_Inh Soln 2.5mg/2.5ml Ud
0301011R0AABBBB,Salbutamol_Inh Soln 5mg/ml
0301011R0AABGBG,Salbutamol_Oral Soln 2mg/5ml S/F
0301011R0AABUBU,Salbutamol_Inha B/A 100mcg (200 D) CFF
0301011R0BEAHAQ,Ventolin_Accuhaler 200mcg (60 D)
0301011R0BEAIAP,Ventolin_Evohaler 100mcg (200 D)
0301011R0BIADAX,Salamol_Steri-Neb Soln 2.5mg/2.5ml Ud
0301011R0BIAEBD,Salamol_Steri-Neb Soln 5mg/2.5ml Ud
0301011R0BIAGBU,Salamol E-Breathe_Inh 100mcg (200 D) CFF
0301011U0AAABAB,Salmeterol_Pdr For Inh 50mcg + Ref
0301011U0AAAEAE,Salmeterol_Pdr For Inh 50mcg (60 D)
0301011U0AAAHAH,Salmeterol_Inha 25mcg (120 D) CFF
0301011V0AAALAL,Terbut Sulph_B/A Inha 500mcg (100 D)
0301011V0BBAMAL,Bricanyl_Turbohaler 500mcg (100 D)
0301020I0AAANAN,Ipratrop Brom_Inha 20mcg (200 D) CFF
0301020I0BEAAAF,Ipratrop_Steri-Neb Soln 250mcg/1ml Ud
0301020I0BEABAC,Ipratrop_Steri-Neb Soln 500mcg/2ml Ud
0301020Q0AAAAAA,Tiotropium_Pdr For Inh Cap 18mcg + Dev
0301020Q0AAABAB,Tiotropium_Pdr For Inh Cap 18mcg
0301020Q0BBACAC,Spiriva Respimat_Inha 2.5mcg (60D)+ Dev
0301030C0BCAAAE,Phyllocontin Continus_Tab 225mg
0301030S0AAAMAM,Theophylline_Tab 200mg M/R
0301030S0BHAAAB,Slo-Phyllin_Cap 60mg
0301030S0BHABAC,Slo-Phyllin_Cap 125mg
0301030S0BHACAD,Slo-Phyllin_Cap 250mg
0301030S0BKAAAR,Uniphyllin Continus_Tab 400mg
0301030S0BKABAM,Uniphyllin Continus_Tab 200mg
0301030S0BKACAP,Uniphyllin Continus_Tab 300mg
0301040R0AAABAB,Gppe Inh Soln_Combivent Ud 2.5ml
0302000C0AABHBH,Beclomet Diprop_Inha B/A100mcg(200 D)CFF
0302000C0AABXBX,Beclomet Diprop/Formoterol_Inh100/6(120D
0302000C0BJAABE,Qvar 50_Inha 50mcg (200 D)
0302000C0BJABBF,Qvar 100_Inha 100mcg (200 D)
0302000C0BJAEBG,Qvar 50 E-Breathe_Inha 50mcg (200 D)
0302000C0BJAFBH,Qvar 100 E-Breathe_Inha 100mcg (200 D)
0302000C0BPAABE,Clenil Modulite_Inha 50mcg (200D)
0302000C0BPABBF,Clenil Modulite_Inha 100mcg (200D)
0302000C0BPACBV,Clenil Modulite_Inha 200mcg (200D)
0302000C0BQAABX,Fostair_Inh 100mcg/6mcg (120D) CFF
0302000K0AAAHAH,Budesonide_Pdr For Inh 400mcg (50 D)
0302000K0AAALAL,Budesonide/Formoterol Inh B/A 100/6(120D
0302000K0AAAMAM,Budesonide/Formoterol Inh B/A 200/6(120D
0302000K0AAAUAU,Budesonide/Formoterol Inh B/A 400/12(60D
0302000K0BBAHAG,Pulmicort_Turbohaler 200mcg (100 D)
0302000K0BDABAM,Symbicort_Turbohaler 200mcg/6mcg (120 D)
0302000K0BDACAU,Symbicort_Turbohaler 400mcg/12mcg (60 D)
0302000N0AAASAS,Fluticasone Prop_Pdr For Inh 100mcg(60D)
0302000N0AAAXAX,Fluticasone/Salmeterol_Inh 100/50mcg 60D
0302000N0AAAYAY,Fluticasone/Salmeterol_Inh 250/50mcg 60D
0302000N0AAAZAZ,Fluticasone/Salmeterol_Inh 500/50mcg 60D
0302000N0AABCBC,Fluticasone Prop_Inha 250mcg (120 D) CFF
0302000N0AABEBE,Fluticasone/Salmeterol_Inh 50/25mcg 120D
0302000N0AABFBF,Fluticasone/Salmeterol_Inh 125/25mcg120D
0302000N0AABGBG,Fluticasone/Salmeterol_Inh 250/25mcg120D
